"","country","year","importValue","politicalStability","governmentEffectiveness","ruleOfLaw"
"1","afghanistan",1996,"827958",-1.89650595188141,-2.54446744918823,-2.12558269500732
"2","afghanistan",2002,"9812",-1.57065999507904,-2.21129369735718,-1.87343382835388
"3","afghanistan",2003,"3330767",-1.28105139732361,-2.26279711723328,-1.4878922700882
"4","afghanistan",2004,"782346",-1.24789273738861,-2.29548144340515,-1.50277209281921
"5","afghanistan",2005,"579407",-1.1791650056839,-2.08842182159424,-1.64619219303131
"6","afghanistan",2006,"5530277",-1.19084787368774,-2.23109436035156,-1.67410969734192
"7","afghanistan",2007,"20999803",-1.12461829185486,-2.39628744125366,-1.68098080158234
"8","afghanistan",2008,"1476217",-1.23609566688538,-2.68935298919678,-1.60107922554016
"9","afghanistan",2009,"21334857",-1.46045124530792,-2.70444989204407,-1.67010509967804
"10","afghanistan",2010,"42377633",-1.48158156871796,-2.54981923103333,-1.5292581319809
"11","albania",1996,"241771",-0.756353974342346,-0.431562215089798,-0.419196784496307
"12","albania",1998,"95360",-0.454046100378036,-0.660371065139771,-0.186577349901199
"13","albania",2000,"413961",-0.320970326662064,-0.646670937538147,-0.262941539287567
"14","albania",2002,"688544",-0.0438821315765381,-0.387306332588196,-0.250540912151337
"15","albania",2003,"613482",0.0561204738914967,-0.330530107021332,-0.46851509809494
"16","albania",2004,"616217",0.0337695926427841,-0.449789017438889,-0.161306917667389
"17","albania",2005,"1334023",0.0324104353785515,-0.493627429008484,-0.299623608589172
"18","albania",2006,"1089150",0.0541779324412346,-0.485085338354111,-0.0940244719386101
"19","albania",2007,"1287835",0.0930522829294205,-0.198142901062965,0.0699749812483788
"20","albania",2008,"5689933",0.159377470612526,-0.0331167317926884,0.145662918686867
"21","albania",2009,"1615008",0.126598909497261,-0.0512325540184975,0.247665405273438
"22","albania",2010,"1873276",0.112057611346245,-0.191314235329628,0.232252091169357
"23","algeria",1996,"3179993",-1.26722574234009,-1.8595677614212,-0.771424412727356
"24","algeria",1998,"7221261",-1.3750239610672,-1.96150887012482,-0.719598293304443
"25","algeria",2000,"59864",-1.2112010717392,-1.50391066074371,-0.693145275115967
"26","algeria",2002,"4862398",-1.11890006065369,-1.69783329963684,-0.593901038169861
"27","algeria",2003,"3764090",-1.13658833503723,-1.7780659198761,-0.551087915897369
"28","algeria",2004,"6597385",-0.815118014812469,-1.37152016162872,-0.544950723648071
"29","algeria",2005,"1775390",-0.76332688331604,-0.92942750453949,-0.43402087688446
"30","algeria",2006,"88795",-0.923715591430664,-1.11955618858337,-0.577564001083374
"31","algeria",2007,"461095",-0.999914705753326,-1.12534761428833,-0.621589183807373
"32","algeria",2008,"7466165",-0.989559352397919,-1.09284639358521,-0.793844878673553
"33","algeria",2009,"2679768",-1.05728662014008,-1.21522963047028,-1.06974112987518
"34","algeria",2010,"120572",-1.02694618701935,-1.26249086856842,-1.16554594039917
"35","andorra",1996,"1113824",1.54090392589569,1.10697185993195,1.24236381053925
"36","andorra",1998,"546832",1.49856579303741,1.11429846286774,1.25817453861237
"37","andorra",2000,"1088718",1.50136911869049,1.10460090637207,1.23280656337738
"38","andorra",2002,"693411",1.38788342475891,1.21496820449829,1.41610074043274
"39","andorra",2003,"956373",1.30248296260834,1.46208715438843,1.38884782791138
"40","andorra",2004,"855053",1.47602581977844,1.43389320373535,1.37558746337891
"41","andorra",2005,"602739",1.4491354227066,1.41684985160828,1.34656763076782
"42","andorra",2006,"578584",1.34218907356262,1.40200591087341,1.34145057201385
"43","andorra",2007,"841830",1.32164597511292,1.38458132743835,1.36198043823242
"44","andorra",2008,"748260",1.34598386287689,1.37757158279419,1.380335688591
"45","andorra",2009,"685066",1.32772934436798,1.31697678565979,1.38196277618408
"46","andorra",2010,"517261",1.33366453647614,1.30648458003998,1.36815905570984
"47","angola",1996,"2543382",-1.64071643352509,-2.10554718971252,-1.45610499382019
"48","angola",1998,"76785",-1.43520092964172,-2.34520602226257,-1.71712303161621
"49","angola",2000,"2061799",-1.4761803150177,-2.0854606628418,-1.82574236392975
"50","angola",2002,"136171",-1.2369521856308,-1.61517918109894,-1.4870719909668
"51","angola",2003,"106491",-1.2656352519989,-1.02709352970123,-1.23314392566681
"52","angola",2004,"780043",-1.27574741840363,-1.03920745849609,-1.24637722969055
"53","angola",2005,"203945",-1.23792850971222,-0.893931925296783,-1.28808951377869
"54","angola",2006,"363372",-1.23635065555573,-0.540907263755798,-1.13703620433807
"55","angola",2007,"421401",-1.16748058795929,-0.696600735187531,-1.04430615901947
"56","angola",2008,"2165718",-1.12588131427765,-0.349961519241333,-1.06127619743347
"57","angola",2009,"13786931",-1.13170802593231,-0.369803935289383,-1.0186402797699
"58","angola",2010,"1421740",-1.11885321140289,-0.216324865818024,-1.01794683933258
