"","country","years","gdps"
"1","andean region","2012",NA
"2","andean region","2011",NA
"3","andean region","2010",NA
"4","andean region","2009",NA
"5","andean region","2008",NA
"6","andean region","2007",NA
"7","andean region","2006",NA
"8","andean region","2005",NA
"9","andean region","2004",NA
"10","andean region","2003",NA
"11","andean region","2002",NA
"12","andean region","2001",NA
"13","andean region","2000",NA
"14","argentina","2012","603153016502.593"
"15","argentina","2011","557727273772.913"
"16","argentina","2010","462703793707.187"
"17","argentina","2009","378496221140.697"
"18","argentina","2008","406003733832.97"
"19","argentina","2007","329761480066.765"
"20","argentina","2006","264489701813.206"
"21","argentina","2005","222907566120.932"
"22","argentina","2004","183295704305.31"
"23","argentina","2003","156988741752.415"
"24","argentina","2002","123607470068.633"
"25","argentina","2001","325488360000"
"26","argentina","2000","344272910000"
"27","bolivia","2012","27035110130.246"
"28","bolivia","2011","23948541156.1194"
"29","bolivia","2010","19649631308.1648"
"30","bolivia","2009","17339992165.2422"
"31","bolivia","2008","16674324634.2373"
"32","bolivia","2007","13120183156.7149"
"33","bolivia","2006","11451845341.2441"
"34","bolivia","2005","9549196255.88892"
"35","bolivia","2004","8773451738.91129"
"36","bolivia","2003","8082396525.99433"
"37","bolivia","2002","7905485216.17852"
"38","bolivia","2001","8141513292.12402"
"39","bolivia","2000","8397858184.79382"
"40","brazil","2012","2248780912395.68"
"41","brazil","2011","2476694763271.16"
"42","brazil","2010","2143067871759.89"
"43","brazil","2009","1620188056416.93"
"44","brazil","2008","1653508561457.08"
"45","brazil","2007","1366823994658.72"
"46","brazil","2006","1088916819852.94"
"47","brazil","2005","882185702547.247"
"48","brazil","2004","663760341880.342"
"49","brazil","2003","552469288267.793"
"50","brazil","2002","504221228974.035"
"51","brazil","2001","553582178386.192"
"52","brazil","2000","644701831101.394"
"53","chile","2012","266259263033.373"
"54","chile","2011","251162316597.843"
"55","chile","2010","217501911333.709"
"56","chile","2009","172323378550.078"
"57","chile","2008","179857806671.501"
"58","chile","2007","173006275030.338"
"59","chile","2006","154671012210.645"
"60","chile","2005","124404150138.162"
